HH      1.27388E+01-5.12717E+00 1.25720E-01-1.41494E-02 6.30214E-041 12 00 00 00  4.478
CH4     5.07774E+01-1.79109E+01 1.41353E-02 4.45530E-03-3.01764E-042 61 14 00 00 
NH3     3.75542E+01-1.30593E+01 1.29104E-01-1.23385E-02 5.34294E-042 71 13 00 00

