nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
6876.971933,0.000138,4.1142,9.950200416073934e-30,2129.618514,9,9,4,4, A2,0,3,1,4,1, A1,0,1,0,4,0
6877.002346,0.000111,4.1147,2.985980983678849e-29,2129.598921,27,27,4,4, B2,0,3,1,4,0, B1,0,1,0,4,1
6877.048539,4.5e-05,1.4812e-06,1.6288225690926798e-29,742.076208,39,33,6,5, B1,1,2,0,4,3, B2,0,0,0,5,0
6877.217696,4e-05,0.018156,1.0164867321448506e-23,222.052782,11,9,5,4, A2,1,2,0,1,5, A1,0,0,0,0,4
6877.246303,5.5e-05,0.035384,3.000350968270494e-25,782.409821,45,45,7,7, B2,1,2,0,3,4, B1,0,0,0,2,5
6877.375056,7.8e-05,1.8847e-06,5.5310932372102796e-30,888.598561,45,39,7,6, B1,2,0,0,0,7, B2,0,0,0,5,2
6877.534871,7e-05,2.3621e-06,8.657443257108052e-30,742.072987,13,11,6,5, A1,1,2,0,4,2, A2,0,0,0,5,1
6877.864198,3.2e-05,0.0014921,3.274111121822874e-25,315.779543,11,9,5,4, A2,0,2,1,0,5, A1,0,0,0,2,2
6878.445426,4.9e-05,0.38871,6.2371932478521456e-30,2144.045742,69,69,11,11, B2,1,0,1,4,8, B1,0,0,0,6,5
6878.646614,5.4e-05,1.073,2.90109637137567e-28,1742.305406,21,15,3,2, B2,0,3,1,2,2, B1,0,1,0,2,1
6879.077391,4.3e-05,7.5595,3.265268357849533e-29,2275.371915,69,75,11,12, B1,1,0,1,5,7, B2,0,0,0,5,8
6879.273043,0.00011,4.0851e-05,3.284976493624952e-27,416.208744,11,11,5,5, A2,0,4,0,5,1, A1,0,0,0,2,4
6879.343944,2.5e-05,0.0099114,4.912112488166188e-27,1079.079254,51,57,8,9, B1,0,2,1,3,5, B2,0,0,0,1,8
